0  1
0.01  1
0.02  1.0001
0.03  1.0003
0.04  1.0006
0.05  1.001
0.06  1.0015
0.07  1.0021
0.08  1.0028
0.09  1.00361
0.1  1.00451
0.11  1.00551
0.12  1.00662
0.13  1.00783
0.14  1.00914
0.15  1.01055
0.16  1.01207
0.17  1.01369
0.18  1.01541
0.19  1.01724
0.2  1.01917
0.21  1.02121
0.22  1.02335
0.23  1.0256
0.24  1.02796
0.25  1.03043
0.26  1.03301
0.27  1.03569
0.28  1.03849
0.29  1.0414
0.3  1.04442
0.31  1.04755
0.32  1.0508
0.33  1.05416
0.34  1.05764
0.35  1.06123
0.36  1.06495
0.37  1.06878
0.38  1.07274
0.39  1.07681
0.4  1.08101
0.41  1.08534
0.42  1.08979
0.43  1.09436
0.44  1.09907
0.45  1.1039
0.46  1.10887
0.47  1.11397
0.48  1.11921
0.49  1.12458
0.5  1.13009
0.51  1.13574
0.52  1.14153
0.53  1.14747
0.54  1.15355
0.55  1.15978
0.56  1.16616
0.57  1.17269
0.58  1.17937
0.59  1.18621
0.6  1.19321
0.61  1.20037
0.62  1.20769
0.63  1.21518
0.64  1.22284
0.65  1.23066
0.66  1.23866
0.67  1.24684
0.68  1.25519
0.69  1.26373
0.7  1.27245
0.71  1.28135
0.72  1.29045
0.73  1.29974
0.74  1.30923
0.75  1.31892
0.76  1.32881
0.77  1.33891
0.78  1.34922
0.79  1.35974
0.8  1.37049
0.81  1.38145
0.82  1.39264
0.83  1.40406
0.84  1.41571
0.85  1.42761
0.86  1.43974
0.87  1.45212
0.88  1.46476
0.89  1.47765
0.9  1.4908
0.91  1.50421
0.92  1.5179
0.93  1.53187
0.94  1.54611
0.95  1.56065
0.96  1.57547
0.97  1.5906
0.98  1.60603
0.99  1.62176
1  1.63782
